subject,trial,condition,Fp1,AF7,AF3,F1,F3,F5,F7,FT7,FC5,FC3,FC1,C1,C3,C5,T7,TP7,CP5,CP3,CP1,P1,P3,P5,P7,P9,PO7,PO3,O1,Iz,Oz,POz,Pz,CPz,Fpz,Fp2,AF8,AF4,AFz,Fz,F2,F4,F6,F8,FT8,FC6,FC4,FC2,FCz,Cz,C2,C4,C6,T8,TP8,CP6,CP4,CP2,P2,P4,P6,P8,P10,PO8,PO4,O2,VEOa,VEOb,HEOL,HEOR,Nose,TP10
1.0,14.0,1.0,-3.479832975260417,1.2802103841145829,0.9843503906250013,1.5948808593750012,-0.23345634765625037,-2.0917533203124967,-1.1679214518229188,0.2329819986979179,0.1415184570312514,2.978107845052081,4.014959993489588,2.3141778645833275,1.3348387044270822,0.981251302083336,-1.5850333658854214,0.3341946614583327,1.3449948242187506,3.3150951822916674,6.204810937499993,4.347451562499991,0.7455936523437486,2.106435579427087,1.8316764322916672,-0.9561358072916678,4.270452864583333,3.4039069010416774,6.597954492187487,-5.087968782552077,0.8543708658854143,3.263549186197915,6.578106705729145,6.558075553385422,1.0060778320312491,1.945057910156252,-3.6618274088541667,6.100479492187502,2.8823240559895855,5.043857519531252,0.2661091471354163,8.340146419270813,-2.870938769531253,-4.577397916666665,-2.8559470703124963,-0.877744921874999,9.0016798502604,4.010643652343756,6.389222786458341,11.492002473958323,2.411625455729163,4.7649430989583275,6.0423275390625095,1.7504032552083337,3.999615136718741,-4.088012597656254,7.2961354817708335,8.67685559895836,6.3464721028646,9.569131249999996,6.779431217447918,3.603299316406247,1.2357300455729197,4.882447493489579,5.901202441406261,-0.27531311848958157,-6.77046848958332,-6.501702962239595,-10.859082942708296,-0.42874287109375214,-1.6980893554687464,7.171424999999997
1.0,16.0,1.0,0.5980672526041688,-2.9014317057291668,-0.6334869791666653,-1.3526163085937484,-7.103198046874994,-5.824381412760402,-4.310928255208333,-5.422231184895831,-4.985052539062498,-2.877394335937503,-3.234718001302085,1.9313778971354152,-3.556373795572918,-3.4649715820312434,-4.016117057291667,-4.694818359374995,-3.3315945963541718,-1.1032745117187504,6.092810872395835,1.602160774739583,-0.3919359375000031,-4.5416546874999915,-4.540265104166669,-4.977999055989586,-3.505243522135419,-2.49113912760417,0.1161618489583332,-11.367153125000009,-1.9113265299479167,3.3074373372395915,2.778509244791675,2.492889648437498,-3.7561204752604165,-5.985149674479168,-8.739380208333332,-8.008325716145846,0.8038314453125,-0.0882020833333337,1.6623769856770965,-5.657214095052079,-4.46111637369791,2.073342057291665,-3.284209830729162,-5.792736523437495,-0.46070677083333283,-1.4949380859375039,-0.4267818033854181,3.360714095052097,-0.5522280924479152,-2.497661067708336,-1.0475494466145827,-1.1981645833333323,0.16345423177083507,-7.34585029296874,0.30115999348958694,-2.3934968750000096,1.0693930013020818,-1.216488606770836,-1.0701254231770825,0.7276879231770802,-3.7113549479166594,-3.4383791992187436,0.8540343750000009,-3.516559114583328,-13.483857779947947,-5.895403613281239,-5.838316569010423,-6.006882552083344,-9.265945572916653,1.9479173177083347
1.0,16.0,2.0,-6.419842350260421,-8.860002278645823,-9.66735813802084,-13.137965332031257,-10.909341796874967,-8.890484016927084,-6.738810058593739,-7.197972688802079,-7.18425491536459,-12.3931216471354,-9.92314746093748,-16.00590133463538,-15.676030175781241,-11.43266393229164,-8.598004752604185,-9.557038606770861,-12.007363118489584,-18.345531510416663,-14.53616220703124,-17.498613216145817,-15.098562792968762,-11.666807845052086,-12.185632682291688,-7.260100032552089,-10.827174251302056,-14.114888932291684,-15.533975325520837,-14.364590429687489,-14.121247363281261,-16.644013118489614,-19.307001171875005,-18.11566282552084,-5.44103929036459,-10.38784095052082,-8.488948079427084,-15.220598958333355,-17.487193554687483,-13.463810351562516,-13.29160270182293,-14.459355989583356,-11.13285397135415,-4.112593587239581,-6.212462109374986,-11.392874869791681,-16.777308333333345,-16.25171907552079,-15.807474641927113,-17.28993652343753,-0.31858727213540833,-17.805586035156235,-14.414600813802089,-10.824549804687479,-12.512878971354157,-15.924080891927096,-17.1257818359375,-15.926209472656245,-17.740221777343738,-19.03939156901038,-16.11573987630207,-15.113414453124994,-12.671722916666676,-13.043979459635443,-17.653836686197927,-15.78618912760414,-2.7754944986979235,-5.821991796874998,-6.840687141927087,-2.0552185546874995,-0.8871838216145824,-17.857061555989606
1.0,10.0,2.0,3.4641937825520874,1.1987836263020857,4.703844238281248,13.380504199218736,7.42005052083334,2.487577408854167,2.2155318033854208,3.236531640624996,3.3772487304687537,12.692817936197907,14.6093685221354,11.76840042317707,13.94774215494791,6.2390177408854095,5.12770833333333,5.206524772135423,7.653100097656247,9.374197916666674,16.682716438802085,18.116045377604138,10.074267513020834,6.642696516927086,6.852758626302094,1.8720380533854184,5.842258561197929,12.302697591145865,9.083291308593735,3.1178025716145767,5.794251139322913,11.967076399739575,12.47559124348956,14.655134602864585,6.69161070963542,7.76133935546875,2.9054375325520865,9.23425458984376,12.509449674479201,14.944184472656252,7.628783203124993,8.92458587239584,13.629936848958373,4.402371256510414,6.390617024739586,8.61775638020835,14.750157942708368,18.1625979166667,14.541920833333327,14.519762792968748,18.747139160156262,12.872742936197879,10.902610872395824,7.50157350260415,9.774904036458343,10.22051373697918,13.583498697916683,16.087167968749974,12.829343196614602,14.544669498697933,12.346064062500007,13.28568919270831,5.43342916666667,11.384548697916701,12.538555403645818,12.368173339843752,4.00842464192708,0.54956435546875,-1.053577669270831,2.641776692708328,2.966512890625001,15.971363509114601
1.0,1.0,2.0,-7.711901757812449,-0.06731197916667059,-6.684589973958345,-2.781481803385416,-0.7878115234374974,4.089455826822918,-1.055672786458332,-2.255122460937509,-2.4354348307291853,0.6726025390624982,3.661249837239597,-0.7925742513020909,-0.1982496093750057,4.905523893229164,1.430289485677081,-0.6445739257812598,0.20581324869791584,-2.621942480468767,-3.0059490885416498,0.15183567708331397,0.36788225911458206,-0.39177522786458147,-1.2020329752604049,-0.8232451171874939,-2.2493356445312407,2.8895472330729177,-6.8146228841145815,-4.681201269531272,-2.466640787760415,-2.700807617187492,-0.22751422526041623,-7.080138736979182,1.659771972656265,-1.40879235026042,-2.096011490885419,-7.116185872395831,-2.540866471354168,-7.759794954427099,-7.891062369791683,-10.484331445312515,-12.175532324218757,-6.7655880533854225,-6.864163834635424,-9.737297786458335,-8.051223828125002,-11.426288281249969,-7.612965722656249,-7.890436132812508,0.15035009765624643,-6.030901660156239,-9.344943294270822,-4.259799869791666,-2.4191732096354133,1.8821767578124968,-3.093050065104162,-3.4070792968750054,-3.2481918294270913,-3.614735123697923,-2.4827565429687715,-8.12639680989579,-4.995512662760407,-5.083524707031255,-5.332816080729143,-2.4461035481770907,-5.154477799479152,0.6857189778645904,-9.038833789062513,0.9293099934896262,-1.4259747721354195,-6.627525716145917
1.0,20.0,3.0,-1.1530565755208284,-1.3228386718750016,-5.588627246093761,2.073304589843751,-3.5463345377604156,-4.8681339518229185,-2.5152608723958365,-2.128227962239582,-1.9742083007812512,-6.31291087239584,-2.982379394531256,-0.8028908203124955,5.114483203125,-1.1611102213541706,-4.532014160156248,-1.2794992187499998,-0.891526822916669,1.2126349609375007,0.015944596354165,8.802976497395834,0.8495913411458322,-0.14455911458333479,0.029990266927083318,-0.6758221028645783,0.9702962239583351,-0.8417649739583325,2.0470556966145836,5.371402376302082,2.699916894531249,-0.3265071614583324,2.864268684895833,-1.2490881835937446,-2.20662444661459,-13.086754003906286,-8.5939625325521,-7.248183007812513,-3.7421517578124974,0.1968682291666655,-5.43959127604166,-2.8816734049479193,-2.643785286458337,-6.265038020833331,-0.14949752604166558,4.780532877604168,-0.027396354166671008,-6.02352063802081,-3.5333961263020908,-1.0746919921875018,0.5769432617187502,-1.3921879231770762,-0.5223016601562444,-0.11154361979166587,0.7517716471354169,5.711036979166656,-0.4076081054687557,-2.648822298177088,-1.0242420572916748,-0.39279270833333313,1.4369839192708325,0.8123280273437504,0.7169200520833338,1.0446600911458301,0.3110048177083344,1.9831745442708362,-2.280519791666669,-6.127960839843759,-4.4759920572916645,-0.9014111002604119,-8.563365429687492,-2.1280028320312536
1.0,100.0,1.0,13.228117675781233,5.54451067708334,7.675110156249993,5.98522825520833,1.4407662109374988,0.4506774414062505,1.8777475585937504,2.942066178385419,3.245743229166653,9.739506087239583,4.810176822916637,9.71111044921876,7.38086080729168,1.7973381835937536,1.3481588216145821,5.154025585937504,2.5680663736979117,13.629295182291669,13.64639319661458,11.890624739583325,9.483380501302085,3.9258792968750007,4.406268001302087,0.013702213541663363,6.562506933593745,4.665225260416672,1.9511375325520801,7.24554475911458,6.560929752604182,10.220284082031258,7.52363603515625,13.806068977864612,-0.13643193359374303,2.0382503906249974,3.027235286458312,5.182178092447916,0.08433492838541183,11.35305865885418,5.847286458333335,3.7924860026041554,10.316115462239571,2.358638151041669,4.876591503906249,3.2195782552083316,8.264978808593737,11.162468294270846,10.435260807291682,11.14385390625001,6.369949902343751,7.633488216145832,5.501480826822937,1.4208304361979185,0.46604599609375624,4.8009261718750205,5.640008170572918,-6.143406315104161,11.16894488932292,3.965895703125009,4.828099967447927,1.7903101562500021,4.041836946614577,6.93281331380209,12.767131184895844,1.8683700520833388,-3.4399740885416676,-11.261237011718753,0.12375341796874513,-6.586733040364591,-19.80599248046875,12.554602766927099
1.0,13.0,3.0,-3.369654069010419,-1.400740625000009,-3.6611196289062495,-4.07712275390625,-6.677825878906248,-2.9875488606770806,-1.7729217122395837,-1.4265553059895832,-1.4977588541666658,-8.428517154947924,-10.044879720052089,-4.810202766927078,-5.497722558593748,-4.806527213541667,-3.320245703125004,-4.588287467447908,-6.550692415364548,-2.1692988281250085,-6.622417968749986,-7.443040527343748,-7.55694697265625,-5.4279944986979,-5.727795638020839,-2.0509168619791627,-9.019038867187506,-10.781107096354182,-8.171731380208316,-6.078152864583334,-7.009211100260393,-7.572244531249987,-8.972922070312489,-8.009581217447932,-3.075683235677088,-1.7897871419270848,0.24095100911458264,-0.564372819010421,-5.43162132161457,-6.979342350260397,-8.518197981770863,-7.764421484374985,-3.3877027669270814,-2.3107050130208346,-4.297415266927088,-2.556142220052085,-1.633029003906242,-4.1069036132812435,-8.438369661458312,-10.41311295572914,-9.186905859375004,-9.41016953125,-6.681654492187512,-4.248846777343761,-6.696994303385434,-6.810484212239593,-6.831501074218758,-2.8194286458333377,-7.620194108072901,-8.433956738281248,-2.5641460611979157,-5.327757226562492,-3.691172460937491,-8.802715755208341,-7.435904199218729,-5.66321806640626,24.856259342447952,-10.001979524739589,9.793951725260419,-4.711536165364586,-10.731041080729154,-7.1174332356770345
1.0,15.0,1.0,0.8269312500000008,-6.3898939127604395,-0.8436765624999975,-6.436011165364593,0.9631466796874989,-2.750135546874999,-3.0885253255208394,-4.574686067708336,-4.739388671875011,-3.73371389973959,1.8894586914062483,-4.20676165364583,-0.5488064778645825,-5.312357812499996,-8.329679752604163,-5.7337271809895825,-5.879127636718747,-4.0762941080729185,-8.424830501302056,-5.149794238281249,-6.232420768229151,-5.861682421875003,-6.18784986979166,-6.128258203124983,-8.315044108072895,-6.284318880208353,-13.852794042968732,-4.2586211914062435,-5.820756445312473,-4.379303222656255,-2.8312943684895866,-5.726680045572923,-4.0165511067708275,-3.816126204427078,-5.646275292968735,-2.3496878255208355,0.17936946614583396,-4.068419010416666,-6.212717285156248,-6.493116536458328,-4.159313183593755,-8.326804817708323,-11.243024088541658,-7.682765494791679,-9.850953385416647,-0.5243241861979253,-4.673641503906256,-8.111269824218768,-5.795001399739587,-5.371236848958311,-6.008393229166647,-8.844998437499989,-6.725301757812487,0.2951183268229156,-7.2307355794271055,-7.449132356770838,-5.771838671875003,-5.033740690104154,-9.271634179687501,2.509664453125001,-3.1079586588541592,-6.009266731770833,-5.974055175781235,-8.154063769531263,-7.570587630208329,-8.477708951822933,-7.279211230468744,-9.520428255208342,-9.12182936197916,-5.819431575520839
1.0,18.0,2.0,-31.423792708333295,-32.88935061848947,-26.460824446614556,-6.004559733072912,-22.766897526041706,-14.70155563151043,-0.2742344075520814,-1.3188884114583301,-1.270706412760415,-6.600471484374984,-6.175884667968751,-6.213174739583334,-0.2290237304687475,-3.035948763020832,0.520606282552084,0.8221561197916678,-2.478995117187501,-2.122567578125003,-5.518848177083334,-9.04661803385418,-4.491832128906242,0.012643717447919147,-0.14017132161458143,2.4562662760416645,-5.128224348958331,-6.529529622395846,-3.2563189127604004,-1.2559007161458309,-1.566868619791667,-3.94768772786458,-4.630994954427081,-5.801597493489591,-12.498949023437518,-26.442070117187498,-32.62276712239583,-34.89063802083333,-16.874985807291612,-7.58761702473958,-3.9966786132812513,-12.701770117187507,-16.30270312500002,-6.656622493489553,-1.9767009440104226,-10.429765983072889,-2.9324229166666647,-1.9636038736979051,-6.617846777343733,-6.700015397135434,-3.2786653971354114,-5.26399287109374,-5.103396842447909,-0.1200231770833375,0.7940982096354173,-4.224966829427108,-4.2284800781250045,-12.680677473958335,-4.510831673177077,-3.7765541666666707,-2.24725081380208,0.2048009765625001,1.2294148437500008,3.2670202799479107,-3.5775725585937614,-2.2893380533854155,-13.753353873697902,5.912106152343745,-7.328551822916649,-13.0694359049479,-3.3912086263020877,-5.407578743489576
